id_trades|trade_usd|kg|quantity|id_flow|id_year|id_quantity|id_code|id_country
1|1431426.0|0.0|23000.0|1|1|1|6929|155
2|31406.0|0.0|2545.0|1|1|1|6931|155
3|950.0|0.0|300.0|2|1|1|6931|155
4|950.0|0.0|300.0|3|1|1|6931|155
5|18251.0|0.0|450.0|1|1|1|6933|155
6|1800859.0|0.0|58683.0|1|1|1|6934|155
7|2100927.0|0.0|172909.0|1|1|1|6935|155
8|201837.0|0.0|630000.0|1|1|1|6939|155
9|19683.0|0.0|3160.0|1|1|1|6945|155
10|221126.0|0.0|22169.0|1|1|1|6946|155
11|9505.0|0.0|978.0|2|1|1|6947|155
12|9505.0|0.0|978.0|3|1|1|6947|155
13|70791.0|0.0|5451.0|1|2|1|6925|155
14|40882.0|0.0|3765.0|1|2|1|6931|155
15|282.0|0.0|60.0|2|2|1|6931|155
16|282.0|0.0|60.0|3|2|1|6931|155
17|1355051.0|0.0|56995.0|1|2|1|6934|155
18|291178.0|0.0|11307.0|1|2|1|6935|155
19|251488.0|0.0|4954.0|1|2|1|6938|155
20|66642.0|0.0|5231.0|1|2|1|6940|155
21|5782.0|0.0|1143.0|1|2|1|6945|155
22|43944.0|0.0|3586.0|1|2|1|6946|155
23|137221.0|0.0|4278.0|2|2|1|6946|155
24|137221.0|0.0|4278.0|3|2|1|6946|155
25|136336.0|0.0|5646.0|1|2|1|6947|155
26|42100.0|2479.0|2479.0|1|3|2|6925|155
27|33558.0|339.0|339.0|1|3|2|6928|155
28|327946.0|16000.0|16000.0|1|3|2|6929|155
29|28378.0|956.0|956.0|1|3|2|6931|155
30|2042182.0|553623.0|553623.0|1|3|2|6933|155
31|312258.0|18777.0|18777.0|1|3|2|6934|155
32|53508.0|4000.0|4000.0|2|3|2|6934|155
33|53508.0|4000.0|4000.0|3|3|2|6934|155
34|409683.0|14790.0|14790.0|1|3|2|6935|155
35|65066.0|1000.0|1000.0|2|3|2|6935|155
36|65066.0|1000.0|1000.0|3|3|2|6935|155
37|6115.0|234.0|234.0|1|3|2|6936|155
38|3038.0|744.0|744.0|1|3|2|6941|155
39|31879.0|2561.0|2561.0|1|3|2|6945|155
40|2030.0|129.0|129.0|2|3|2|6945|155
41|2030.0|129.0|129.0|3|3|2|6945|155
42|51359.0|9502.0|9502.0|1|3|2|6946|155
43|8437.0|324.0|324.0|1|3|2|6947|155
44|2304489.0|597566.0|597566.0|1|4|2|6928|155
45|838.0|18.0|18.0|2|4|2|6928|155
46|838.0|18.0|18.0|3|4|2|6928|155
47|3443882.0|121871.0|121871.0|1|4|2|6929|155
48|11233.0|998.0|998.0|1|4|2|6931|155
49|19817.0|1373.0|1373.0|1|4|2|6933|155
50|15718.0|10000.0|10000.0|2|4|2|6933|155
51|15718.0|10000.0|10000.0|3|4|2|6933|155
52|35152.0|1756.0|1756.0|1|4|2|6934|155
53|116303.0|7582.0|7582.0|1|4|2|6935|155
54|5199.0|14.0|14.0|1|4|2|6940|155
55|3934.0|308.0|308.0|1|4|2|6941|155
